| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                      | remediation                                                                                                            | metadata                                                                                                                                                                                                                                               | cache_key                                                                                                     |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.prevent_profile_field_escalation()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/prevent_profile_field_escalation`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.               | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"prevent_profile_field_escalation","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                              | anon_security_definer_function_executable_public_prevent_profile_field_escalation_                            |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.rls_auto_enable()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/rls_auto_enable`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"rls_auto_enable","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                                               | anon_security_definer_function_executable_public_rls_auto_enable_                                             |
| anon_security_definer_function_executable          | Public Can Execute SECURITY DEFINER Function          | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.                                                                       | Function `public.validate_mission_progress()` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/validate_mission_progress`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                             | https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable          | {"name":"validate_mission_progress","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                                     | anon_security_definer_function_executable_public_validate_mission_progress_                                   |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.claim_ai_scan_slot(p_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/claim_ai_scan_slot`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"claim_ai_scan_slot","schema":"public","language":"plpgsql","arguments":"p_limit integer","security_definer":true}                                                                                                                             | authenticated_security_definer_function_executable_public_claim_ai_scan_slot_p_limit integer                  |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.decrement_follower_count(target_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_follower_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"decrement_follower_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                   | authenticated_security_definer_function_executable_public_decrement_follower_count_target_user_id uuid        |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.decrement_following_count(target_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_following_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional. | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"decrement_following_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                  | authenticated_security_definer_function_executable_public_decrement_following_count_target_user_id uuid       |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.decrement_post_likes(post_id_input uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/decrement_post_likes`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.            | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"decrement_post_likes","schema":"public","language":"plpgsql","arguments":"post_id_input uuid","security_definer":true}                                                                                                                        | authenticated_security_definer_function_executable_public_decrement_post_likes_post_id_input uuid             |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.get_my_exact_address(p_table text, p_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_my_exact_address`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.       | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"get_my_exact_address","schema":"public","language":"plpgsql","arguments":"p_table text, p_id uuid","security_definer":true}                                                                                                                   | authenticated_security_definer_function_executable_public_get_my_exact_address_p_table text, p_id uuid        |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.increment_follower_count(target_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_follower_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"increment_follower_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                   | authenticated_security_definer_function_executable_public_increment_follower_count_target_user_id uuid        |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.increment_following_count(target_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_following_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional. | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"increment_following_count","schema":"public","language":"plpgsql","arguments":"target_user_id uuid","security_definer":true}                                                                                                                  | authenticated_security_definer_function_executable_public_increment_following_count_target_user_id uuid       |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.increment_post_likes(post_id_input uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_post_likes`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.            | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"increment_post_likes","schema":"public","language":"plpgsql","arguments":"post_id_input uuid","security_definer":true}                                                                                                                        | authenticated_security_definer_function_executable_public_increment_post_likes_post_id_input uuid             |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.place_bid(auction_id_input uuid, bid_amount numeric)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/place_bid`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.           | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"place_bid","schema":"public","language":"plpgsql","arguments":"auction_id_input uuid, bid_amount numeric","security_definer":true}                                                                                                            | authenticated_security_definer_function_executable_public_place_bid_auction_id_input uuid, bid_amount numeric |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.prevent_profile_field_escalation()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/prevent_profile_field_escalation`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.      | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"prevent_profile_field_escalation","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                              | authenticated_security_definer_function_executable_public_prevent_profile_field_escalation_                   |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.rls_auto_enable()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/rls_auto_enable`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                        | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"rls_auto_enable","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                                               | authenticated_security_definer_function_executable_public_rls_auto_enable_                                    |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.                                                                 | Function `public.validate_mission_progress()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/validate_mission_progress`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                    | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"validate_mission_progress","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                                                     | authenticated_security_definer_function_executable_public_validate_mission_progress_                          |
| auth_leaked_password_protection                    | Leaked Password Protection Disabled                   | WARN  | EXTERNAL | ["SECURITY"] | Leaked password protection is currently disabled.                                                                                                                                                                                                                                        | Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.                                                                                                                                    | https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection               | {"type":"auth","entity":"Auth"}                                                                                                                                                                                                                        | auth_leaked_password_protection                                                                               |
